"","h1_yoy","h3_yoy","h12_yoy"
"2022-05-01",0.409948568825983,0.399923640970635,0.395257047993401
"2022-06-01",0.265407599761552,0.271470103909502,0.278789126518753
"2022-07-01",0.365697946824517,0.361864279445038,0.362863014578271
"2022-08-01",0.408134369461803,0.406065071622078,0.382808259954809
"2022-09-01",0.563268214418002,0.542308055371308,0.5249257389645
"2022-10-01",0.467088750939288,0.460180800414702,0.466341747615663
"2022-11-01",0.46240574462721,0.475533825705289,0.46501474146654
"2022-12-01",0.463625371603664,0.453796628379897,0.45126091452296
"2023-01-01",0.559278077254293,0.555259035327034,0.544767401947272
"2023-02-01",0.504955377134259,0.500998276487109,0.492117254159252
"2023-03-01",0.447533528485148,0.452631230076604,0.453559133367072
"2023-04-01",0.370151508050761,0.380226163355905,0.38416926186235
"2023-05-01",0.301073737843162,0.306664168053063,0.318049457310766
"2023-06-01",0.292502243446456,0.300647631888884,0.32174168803432
"2023-07-01",0.258785667402288,0.259054665541368,0.269469463713975
"2023-08-01",0.282571355458006,0.286022639670408,0.293621381160449
"2023-09-01",0.22594617589414,0.230761480424045,0.240480103151849
"2023-10-01",0.205139380225368,0.211758767216932,0.229119281136764
"2023-11-01",0.168268546135785,0.173759775832617,0.171433697385834
"2023-12-01",0.194976472527428,0.202455952754705,0.21633335891268
"2024-01-01",0.295101584873698,0.287497659979718,0.290583753016248
"2024-02-01",0.278072457129228,0.26890228974734,0.268691942413495
"2024-03-01",0.254129522833423,0.25259786971915,0.261350723989433
"2024-04-01",0.200219450053539,0.204446409091837,0.201265736856047
"2024-05-01",0.290599355315981,0.292571214058213,0.288316814333524
"2024-06-01",0.224106359913072,0.226517004430477,0.228722371081009
"2024-07-01",0.203014954192843,0.209766690849592,0.212415471726882
"2024-08-01",0.226941059889702,0.226071341349893,0.230523724682658
"2024-09-01",0.160212883123117,0.164274642444234,0.155218776428543
"2024-10-01",0.186273862992593,0.188499887028969,0.190746232665879
"2024-11-01",0.173894013885036,0.172554504667886,0.177606590983361
"2024-12-01",0.205720793500791,0.203630859298991,0.208300039010816
"2025-01-01",0.216440701027284,0.22159719058169,0.222150448262113
"2025-02-01",0.171611120350076,0.183756755398093,0.189239509310167
